id,resource_type,priority,year,category,title,identifier,url,screening_stage,relevance
P001,paper,medium,2014,foundations,"Neural Turing Machines",arXiv:1410.5401,https://arxiv.org/abs/1410.5401,title_abstract,"Differentiable external memory foundation"
P002,paper,medium,2014,foundations,"Memory Networks",arXiv:1410.3916,https://arxiv.org/abs/1410.3916,title_abstract,"Learned memory read and write"
P003,paper,medium,2015,foundations,"End-To-End Memory Networks",arXiv:1503.08895,https://arxiv.org/abs/1503.08895,title_abstract,"End-to-end memory addressing"
P004,paper,medium,2016,foundations,"Hybrid Computing Using a Neural Network with Dynamic External Memory",arXiv:1610.06258,https://arxiv.org/abs/1610.06258,title_abstract,"Differentiable neural computer"
P005,paper,medium,2019,foundations,"Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context",arXiv:1901.02860,https://arxiv.org/abs/1901.02860,title_abstract,"Segment recurrence and long context"
P006,paper,medium,2020,retrieval,"REALM: Retrieval-Augmented Language Model Pre-Training",arXiv:2002.08909,https://arxiv.org/abs/2002.08909,title_abstract,"Learned retrieval foundation"
P007,paper,high,2020,retrieval,"Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks",arXiv:2005.11401,https://arxiv.org/abs/2005.11401,priority_full_text,"RAG baseline"
P008,paper,medium,2021,retrieval,"Improving Language Models by Retrieving from Trillions of Tokens",arXiv:2112.04426,https://arxiv.org/abs/2112.04426,title_abstract,"RETRO retrieval architecture"
P009,paper,medium,2022,foundations,"Memorizing Transformers",arXiv:2203.08913,https://arxiv.org/abs/2203.08913,title_abstract,"kNN memory for transformers"
P010,paper,medium,2022,foundations,"Recurrent Memory Transformer",arXiv:2207.06881,https://arxiv.org/abs/2207.06881,title_abstract,"Recurrent memory tokens"
P011,paper,medium,2023,long_context,"RecurrentGPT: Interactive Generation of (Arbitrarily) Long Text",arXiv:2305.13304,https://arxiv.org/abs/2305.13304,title_abstract,"External recurrence via language interaction"
P012,paper,high,2023,long_term_memory,"Augmenting Language Models with Long-Term Memory",arXiv:2306.07174,https://arxiv.org/abs/2306.07174,priority_full_text,"LongMem architecture"
P013,paper,high,2023,long_context,"Lost in the Middle: How Language Models Use Long Contexts",arXiv:2307.03172,https://arxiv.org/abs/2307.03172,priority_full_text,"Evidence that more context is not always better"
P014,paper,medium,2023,long_context,"LongLoRA: Efficient Fine-tuning of Long-Context Large Language Models",arXiv:2309.12307,https://arxiv.org/abs/2309.12307,title_abstract,"Long-context adaptation"
P015,paper,high,2023,token_efficiency,"LLMLingua: Compressing Prompts for Accelerated Inference of Large Language Models",arXiv:2310.05736,https://arxiv.org/abs/2310.05736,priority_full_text,"Prompt compression baseline"
P016,paper,high,2023,token_efficiency,"LongLLMLingua: Accelerating and Enhancing LLMs in Long Context Scenarios via Prompt Compression",arXiv:2310.06839,https://arxiv.org/abs/2310.06839,priority_full_text,"Long-context compression"
P017,paper,medium,2023,token_efficiency,"RECOMP: Improving Retrieval-Augmented LMs with Compression and Selective Augmentation",arXiv:2310.04408,https://arxiv.org/abs/2310.04408,title_abstract,"Selective evidence compression"
P018,paper,medium,2024,long_context,"Leave No Context Behind: Efficient Infinite Context Transformers with Infini-attention",arXiv:2404.07143,https://arxiv.org/abs/2404.07143,title_abstract,"Compressed long-term attention memory"
P019,paper,core,2023,agent_memory,"Generative Agents: Interactive Simulacra of Human Behavior",arXiv:2304.03442,https://arxiv.org/abs/2304.03442,core_full_text,"Memory stream reflection and planning"
P020,paper,core,2023,agent_memory,"MemGPT: Towards LLMs as Operating Systems",arXiv:2310.08560,https://arxiv.org/abs/2310.08560,core_full_text,"OS-style tiered agent memory"
P021,paper,core,2023,agent_memory,"Cognitive Architectures for Language Agents",arXiv:2309.02427,https://arxiv.org/abs/2309.02427,core_full_text,"CoALA conceptual framework"
P022,paper,medium,2023,agent_memory,"Enhancing Large Language Model with Self-Controlled Memory Framework",arXiv:2304.13343,https://arxiv.org/abs/2304.13343,title_abstract,"Memory controller and stream"
P023,paper,high,2023,agent_memory,"MemoryBank: Enhancing Large Language Models with Long-Term Memory",arXiv:2305.10250,https://arxiv.org/abs/2305.10250,priority_full_text,"Forgetting and reinforcement"
P024,paper,high,2024,agent_memory,"Agent Workflow Memory",arXiv:2409.07429,https://arxiv.org/abs/2409.07429,priority_full_text,"Workflow experience memory"
P025,paper,core,2024,graph_memory,"HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models",arXiv:2405.14831,https://arxiv.org/abs/2405.14831,core_full_text,"Hippocampal-inspired graph retrieval"
P026,paper,core,2025,agent_memory,"A-MEM: Agentic Memory for LLM Agents",arXiv:2502.12110,https://arxiv.org/abs/2502.12110,core_full_text,"Dynamic linked memory organization"
P027,paper,core,2025,graph_memory,"Zep: A Temporal Knowledge Graph Architecture for Agent Memory",arXiv:2501.13956,https://arxiv.org/abs/2501.13956,core_full_text,"Temporal graph agent memory"
P028,paper,core,2025,agent_memory,"Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory",arXiv:2504.19413,https://arxiv.org/abs/2504.19413,core_full_text,"Scalable extracted and graph memory"
P029,paper,high,2025,agent_memory,"MemoryOS: An Operating System for Personalized AI",arXiv:2506.06326,https://arxiv.org/abs/2506.06326,core_full_text,"Hierarchical personalized memory OS"
P030,paper,high,2025,multimodal_memory,"MIRIX: Multi-Agent Memory System for LLM-Based Agents",arXiv:2507.07957,https://arxiv.org/abs/2507.07957,core_full_text,"Multi-agent multimodal memory"
P031,paper,high,2025,graph_memory,"LiCoMemory: Lightweight and Cognitive Agentic Memory for Personalized AI",arXiv:2511.01448,https://arxiv.org/abs/2511.01448,title_abstract,"Lightweight cognitive graph memory"
